ID|Language|Option|Divider
1|English|Complete|1
2|English|Hundreds|100
3|English|Thousands|1000
4|English|Millions|1000000
5|English|Billions|1000000000
6|Español|General|1
7|Español|Cientos|100
8|Español|Miles|1000
9|Español|Millones|1000000
10|Español|Miles de millones|1000000000
